"","estimate","LB95","UB95","LB90","UB90"
"probability of smoking at the mean of control covariates when did not engage","0.354","0.287","0.427","0.297","0.415"
"probability of smoking at the mean of control covariates when engaged","0.273","0.225","0.327","0.232","0.318"
