"","L1","L2","R1","R2","R3"
"Minimum",0.0414333343505859,0.177016663551331,0.00476666688919067,60.0033499995867,61.1142500003179
"25th-Percentile",0.379850000143051,2.92433333396912,0.171654166777929,60.1284833312035,62.8284833351771
"50th-Percentile",0.716158334414164,5.08981666564941,0.183141666650772,60.1406500021617,64.0596499999364
"75th-Percentile",2.01002083321412,45.0046333352725,0.200779168804487,60.1646166682243,67.5803499976794
"Maximum",3.47151666879654,51.5610333323479,50.6358333349228,137.03726666371,162.585166668892
