"","exp_estimates","stderr_rr","rrLB95","rrUB95"
"1","1.253637","0.07279400","1.1088781","1.398396"
"2","1.057479","0.05224197","0.9535899","1.161368"
"3","1.185496","0.05881521","1.0685356","1.302457"
