"","contrast","est_contrast","LB95","UB95","est_stderr_contrast"
"1","high vs none","0.14619836"," 0.08426464","0.20813207","0.03159941"
"2","low vs none","0.03201124","-0.01857035","0.08259284","0.02580741"
"3","high vs low","0.11418711"," 0.05608106","0.17229316","0.02964649"
