"","contrast","est_contrast","LB95","UB95","est_stderr_contrast"
"1","high vs none","0.67582270"," 0.3691947","0.9824507","0.1564457"
"2","low vs none","0.08279392","-0.1681494","0.3337373","0.1280347"
"3","high vs low","0.59302879"," 0.2924314","0.8936262","0.1533688"
