"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"High vs. None","0.18912374"," 0.07778065","0.3004668","0.05599042","3.3777875","84.000","0.001109376"
"Low vs. None","0.02041765","-0.08698887","0.1278242","0.05401086","0.3780285","84.000","0.706363000"
"High vs. Low","0.16870610"," 0.06439596","0.2730162","0.05245380","3.2162796","84.000","0.001844620"
