"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"High vs. None","0.22604885"," 0.11055740","0.3415403","0.05806625","3.892947","83.000","0.0001993390"
"Low vs. None","0.05588754","-0.04237180","0.1541469","0.04940238","1.131272","83.000","0.2611986004"
"High vs. Low","0.17016131"," 0.07148441","0.2688382","0.04961232","3.429820","83.000","0.0009431705"
