"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"Low Engagement","0.325","0.133","0.794","0.112","0.942"
"High Engagement","0.433","0.335","0.561","0.319","0.589"
