"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"Low Engagement","-1.123","-2.014","-0.231","-2.185","-0.060"
"High Engagement","-0.836","-1.094","-0.578","-1.144","-0.529"
