"","predictor","est_beta0","conf_int_lb_beta0","conf_int_ub_beta0","est_beta1","conf_int_lb_beta1","conf_int_ub_beta1","est_beta2","conf_int_lb_beta2","conf_int_ub_beta2","screened_out"
"1","hour_coinflip_local",4.322,-8.95,17.594,-0.584,-2.506,1.339,0.022,-0.045,0.089,1
"2","age",-0.959,-8.211,6.293,0.089,-0.253,0.431,-0.001,-0.005,0.003,1
"3","income_val",2.28,0.049,4.51,-0.638,-1.505,0.229,0.048,-0.024,0.12,1
"4","food_security_mean",0.68,-4.337,5.696,0.402,-6.077,6.882,-0.282,-2.139,1.575,1
"5","SSSladders",4.682,-0.419,9.783,-1.601,-3.426,0.224,0.143,-0.018,0.305,1
"6","pp1_1",3.329,-4.8,11.459,-2.434,-8.352,3.483,0.498,-0.53,1.526,1
"7","FinancialStrain",1.549,-4.652,7.75,-1.215,-8.329,5.898,0.351,-1.583,2.285,1
"8","nd_mean",6.383,-0.152,12.918,-5.45,-11.463,0.563,1.147,-0.146,2.441,1
"9","srq_mean",-12.276,-29.849,5.297,6.388,-2.785,15.561,-0.767,-1.936,0.403,1
"10","sni_count",0.219,-4.18,4.618,-0.043,-1.845,1.759,0.02,-0.16,0.2,1
"11","sni_people",1.781,-0.611,4.174,-0.157,-0.456,0.141,0.004,-0.004,0.011,1
"12","sni_active",0.836,-0.421,2.093,-0.731,-2.384,0.923,0.248,-0.189,0.684,1
"13","isel_belonging",-1.854,-7.632,3.924,1.102,-3.384,5.588,-0.088,-0.928,0.752,1
"14","isel_appraisal",-8.371,-18.948,2.206,5.795,-1.273,12.862,-0.887,-2.039,0.265,1
"15","isel_tangible",-3.979,-10.442,2.483,2.631,-2.188,7.45,-0.35,-1.203,0.503,1
