"","exp_estimates","rrLB95","rrUB95"
"High vs. None","17.0587535","11.5342698","25.229258"
"Low vs. None","19.3655496","12.9801752","28.892099"
"High vs. Low"," 0.8808815"," 0.7541708"," 1.028881"
