"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"High vs. None"," 2.8366635"," 2.4453226","3.22800436","0.19644619","14.43990","75.000","2.350270e-23"
"Low vs. None"," 2.9634957"," 2.5634232","3.36356817","0.20082930","14.75629","75.000","7.023873e-24"
"High vs. Low","-0.1268322","-0.2821364","0.02847194","0.07795994","-1.62689","75.000","1.079550e-01"
