"","coefficient","estimate","LCL95","UCL95","SE","HotellingT","df","p"
"High Effort Prompt (versus Low Effort)","beta0"," 0.169"," 0.064","0.273","0.052"," 3.216","84.000","0.002"
"No Prompt (versus Low Effort)","beta1","-0.020","-0.128","0.087","0.054","-0.378","84.000","0.706"
