"","coefficient","estimate","LCL95","UCL95","SE","HotellingT","p"
"High Effort Prompt (versus Low Effort)","beta0"," 0.170"," 0.072","0.269","0.050"," 3.430","0.001"
"No Prompt (versus Low Effort)","beta1","-0.056","-0.154","0.042","0.049","-1.131","0.261"
