"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.186","-0.002"," 0.374"," 0.094"," 1.971","83.000"," 0.052"
"days_between_v1_and_coinflip_local","-0.016","-0.047"," 0.015"," 0.015","-1.038","83.000"," 0.302"
