"","Q1","Q2","Q3","Q4","R1","R2"
"Minimum",0.0790666659673055,0.153700002034505,60.3503999988238,0.971533334255218,0.0111666679382324,61.1142500003179
"25th-Percentile",0.32035000026226,0.575912499427795,60.7538499991099,2.56713333527247,0.169183333714803,62.8284833351771
"50th-Percentile",0.446425000826518,1.0383333325386,61.9772666692734,3.53616666793823,0.179066669940948,64.0596499999364
"75th-Percentile",0.66102083226045,2.20436250170072,62.3694833318392,5.64213333527247,0.197866670290629,67.5803499976794
"Maximum",2.35935000181198,51.3151333332062,138.454683335622,51.2826166669528,50.6358333349228,162.585166668892
