"","estimate","LB95","UB95","LB90","UB90"
"probability of smoking at the mean of control covariates when did not engage","0.357","0.291","0.428","0.301","0.416"
"probability of smoking at the mean of control covariates when engaged","0.286","0.237","0.340","0.245","0.331"
