"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.115","0.021","  0.623"," 0.028","  0.475"
"any_nic","41.773","9.912","176.042","12.491","139.694"
"n_engaged"," 0.994","0.750","  1.316"," 0.785","  1.258"
