"","estimate","LB95","UB95","LB90","UB90"
"probability of smoking at the mean of control covariates when did not engage","0.359","0.293","0.430","0.303","0.418"
"probability of smoking at the mean of control covariates when engaged","0.289","0.240","0.344","0.247","0.335"
