"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.147","0.455","6.344","0.012"," 0.254"," 2.040"," 0.398"," 1.896"
"n_engaged","-0.209","0.102","4.198","0.040","-0.409","-0.009","-0.377","-0.041"
