"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"Low Engagement","-3.803","-5.088","-2.519","-5.334","-2.273"
"High Engagement","-1.916","-2.540","-1.293","-2.659","-1.173"
