"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"Low Engagement","0.022","0.006","0.081","0.005","0.103"
"High Engagement","0.147","0.079","0.274","0.070","0.309"
