"decision_point","n","Qbar","logodds_scale_pooled_stderr","logodds_scale_conf_int_lb","logodds_scale_conf_int_ub","est_prob","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
45,42,0.476,0.381,-0.271,1.222,0.617,0.433,0.772,0.118,0.026,50,0.145,0.185,0.226,41,31.915,1439.387,31.223,0.232
46,45,0.4,0.33,-0.247,1.046,0.599,0.439,0.74,0.084,0.025,50,0.109,0.231,0.3,44,32.413,921.396,31.311,0.275
47,41,0.127,0.361,-0.58,0.834,0.532,0.359,0.697,0.101,0.028,50,0.13,0.223,0.287,40,29.643,987.356,28.779,0.272
48,37,0.997,0.551,-0.082,2.077,0.73,0.479,0.889,0.137,0.163,50,0.303,0.549,1.216,36,15.413,162.744,14.08,0.602
49,37,0.518,0.364,-0.195,1.231,0.627,0.451,0.774,0.105,0.027,50,0.132,0.207,0.261,36,27.078,1141.582,26.451,0.261
50,42,0.53,0.396,-0.245,1.306,0.63,0.439,0.787,0.114,0.042,50,0.157,0.271,0.372,41,28.517,665.516,27.345,0.319
51,36,0.55,0.413,-0.259,1.36,0.634,0.436,0.796,0.121,0.048,50,0.171,0.289,0.407,35,23.574,586.549,22.663,0.344
52,50,1.112,0.42,0.289,1.934,0.752,0.572,0.874,0.127,0.048,50,0.176,0.28,0.39,49,33.907,623.488,32.158,0.321
53,40,0.703,0.419,-0.119,1.525,0.669,0.47,0.821,0.105,0.07,50,0.176,0.405,0.681,39,22.097,298.605,20.574,0.456
54,39,0.404,0.534,-0.642,1.45,0.6,0.345,0.81,0.097,0.184,50,0.285,0.659,1.93,38,12.336,112.923,11.121,0.707
