"","Estimate","StdErr","LCL","UCL","p_value"
"high vs none","0.082","0.022"," 0.040","0.124","0.000"
"low vs none","0.017","0.018","-0.019","0.052","0.355"
"high vs low","0.065","0.022"," 0.023","0.108","0.002"
