"","pbcom_est","pbcom_stderr"
"High Effort Prompt vs. No Prompt","0.240","0.040"
"Low Effort Prompt vs. No Prompt","0.640","0.400"
"High Effort Prompt vs. Low Effort Prompt","0.220","0.260"
