"decision_point","n","Qbar","logodds_scale_pooled_stderr","logodds_scale_conf_int_lb","logodds_scale_conf_int_ub","est_prob","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
43,21,1.156,0.556,0.066,2.247,0.761,0.517,0.904,0.254,0.054,50,0.309,0.179,0.218,20,14.988,1525.569,14.842,0.271
44,18,1.681,0.767,0.178,3.184,0.843,0.544,0.96,0.463,0.122,50,0.588,0.212,0.269,17,12.059,1091.99,11.927,0.317
45,17,0.124,0.559,-0.972,1.22,0.531,0.274,0.772,0.27,0.041,50,0.313,0.135,0.156,16,12.38,2679.526,12.323,0.248
46,22,0.894,0.513,-0.111,1.9,0.71,0.472,0.87,0.191,0.071,50,0.263,0.276,0.382,21,13.928,641.054,13.632,0.363
47,24,1.247,0.66,-0.046,2.54,0.777,0.489,0.927,0.368,0.066,50,0.435,0.155,0.183,23,17.94,2039.782,17.784,0.236
48,15,1.822,1.012,-0.162,3.806,0.861,0.46,0.978,0.502,0.512,50,1.025,0.51,1.04,14,6.056,188.599,5.868,0.62
49,22,1.326,0.72,-0.085,2.738,0.79,0.479,0.939,0.337,0.178,50,0.518,0.35,0.539,21,12.508,399.45,12.128,0.436
50,17,0.234,0.671,-1.082,1.55,0.558,0.253,0.825,0.282,0.166,50,0.451,0.375,0.6,16,8.947,348.382,8.723,0.482
51,15,1.391,0.791,-0.16,2.942,0.801,0.46,0.95,0.537,0.088,50,0.626,0.143,0.167,14,10.584,2390.761,10.538,0.27
52,26,1.365,0.709,-0.024,2.754,0.797,0.494,0.94,0.343,0.157,50,0.502,0.318,0.466,25,15.831,484.371,15.33,0.392
53,16,0.678,0.601,-0.5,1.856,0.663,0.377,0.865,0.188,0.17,50,0.361,0.48,0.924,15,6.93,212.455,6.711,0.587
54,20,1.135,0.966,-0.758,3.028,0.757,0.319,0.954,0.286,0.634,50,0.933,0.693,2.261,19,5.297,101.938,5.036,0.77
