"","Estimate","StdErr","LCL","UCL","p_value"
"high vs none","0.142","0.024"," 0.095","0.189","0.000"
"low vs none","0.034","0.021","-0.008","0.075","0.109"
"high vs low","0.108","0.024"," 0.061","0.155","0.000"
