"","pbcom_est","pbcom_stderr"
"High Effort Prompt vs. No Prompt","0.360","0.020"
"Low Effort Prompt vs. No Prompt","0.680","0.440"
"High Effort Prompt vs. Low Effort Prompt","0.300","0.340"
