"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"high vs none","0.00038","0.00019","50.00000","0.00058","0.34318","0.52248","95.00000","61.12493","416.06819","53.29527","0.36651"
"low vs none","0.00031","0.00013","50.00000","0.00045","0.30463","0.43808","95.00000","64.71204","528.02251","57.64708","0.32756"
"high vs low","0.00043","0.00015","50.00000","0.00058","0.26243","0.35581","95.00000","68.63891","711.47531","62.59966","0.28492"
