"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"high vs none","0.00047","0.00000","50.00000","0.00047","0.00006","0.00006","95.00000","93.05554","13145979595.10309","93.05554","0.02088"
"low vs none","0.00033","0.00000","50.00000","0.00033","0.00019","0.00019","95.00000","93.04350"," 1351320440.85607","93.04350","0.02101"
"high vs low","0.00047","0.00000","50.00000","0.00047","0.00015","0.00015","95.00000","93.04686"," 2055764417.67073","93.04685","0.02097"
