"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"High Effort Prompt vs. No Prompt","0.00124","0.00049","50.00000","0.00174","0.28521","0.39901","83.00000","57.94775","602.36890","52.86240","0.31080"
"Low Effort Prompt vs. No Prompt","0.00103","0.00039","50.00000","0.00144","0.27927","0.38747","83.00000","58.42973","628.28922","53.45821","0.30480"
"High Effort Prompt vs. Low Effort Prompt","0.00117","0.00035","50.00000","0.00153","0.23255","0.30301","83.00000","62.21719","906.09261","58.21953","0.25762"
