"","pbcom_est","pbcom_stderr"
"High Effort Prompt vs. No Prompt","0.300","0.140"
"Low Effort Prompt vs. No Prompt","0.740","0.260"
"High Effort Prompt vs. Low Effort Prompt","0.180","0.140"
