"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"High Effort Prompt vs. No Prompt","0.00087","0.00000","50.00000","0.00087","0.00007","0.00007","83.00000","81.06422","10463785702.36164","81.06422","0.02386"
"Low Effort Prompt vs. No Prompt","0.00067","0.00000","50.00000","0.00067","0.00016","0.00016","83.00000","81.05718"," 2033244519.19667","81.05718","0.02394"
"High Effort Prompt vs. Low Effort Prompt","0.00084","0.00000","50.00000","0.00084","0.00015","0.00015","83.00000","81.05775"," 2228209216.44059","81.05774","0.02394"
