"","Estimate","StdErr","LCL","UCL","p_value"
"High Effort Prompt vs. No Prompt","0.189","0.052"," 0.086","0.291","0.000"
"Low Effort Prompt vs. No Prompt","0.023","0.057","-0.089","0.134","0.688"
"High Effort Prompt vs. Low Effort Prompt","0.166","0.059"," 0.051","0.281","0.005"
