"","pbcom_est","pbcom_stderr"
"(Intercept)","0.460","0.360"
"days_between_v1_and_coinflip_local","0.540","0.840"
"(Intercept) + days_between_v1_and_coinflip_local","0.480","0.280"
"(Intercept) + 2*days_between_v1_and_coinflip_local","0.540","0.260"
"(Intercept) + 3*days_between_v1_and_coinflip_local","0.520","0.220"
"(Intercept) + 4*days_between_v1_and_coinflip_local","0.520","0.160"
"(Intercept) + 5*days_between_v1_and_coinflip_local","0.520","0.160"
"(Intercept) + 6*days_between_v1_and_coinflip_local","0.560","0.460"
"(Intercept) + 7*days_between_v1_and_coinflip_local","0.660","0.660"
"(Intercept) + 8*days_between_v1_and_coinflip_local","0.600","0.740"
