"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"high vs none","0.00045","0.00019","50.00000","0.00065","0.30509","0.43903","95.00000","64.66929"," 526.43379","57.59419","0.32803"
"low vs none","0.00042","0.00012","50.00000","0.00054","0.22054","0.28294","95.00000","72.53761","1007.45530","67.66563","0.24260"
"high vs low","0.00058","0.00019","50.00000","0.00077","0.25370","0.33994","95.00000","69.45188"," 761.31726","63.64574","0.27609"
