"","pbcom_est","pbcom_stderr"
"High Effort Prompt vs. No Prompt","0.360","0.100"
"Low Effort Prompt vs. No Prompt","0.740","0.380"
"High Effort Prompt vs. Low Effort Prompt","0.200","0.420"
