"","Estimate","StdErr","LCL","UCL","p_value"
"1","0.121","0.025"," 0.072","0.171","0.000"
"2","0.026","0.023","-0.019","0.072","0.260"
"3","0.095","0.028"," 0.041","0.150","0.001"
