"","Estimate","StdErr","LCL","UCL","p_value"
"high vs none","0.079","0.020"," 0.039","0.118","0.000"
"low vs none","0.008","0.021","-0.034","0.049","0.708"
"high vs low","0.071","0.024"," 0.024","0.117","0.003"
