"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"78","(Intercept) + 6.75*gratitude","1.022","0.917","1.139","0.933","1.119"
"79","(Intercept) + 6.8*gratitude","1.016","0.909","1.135","0.926","1.115"
"80","(Intercept) + 6.85*gratitude","1.010","0.902","1.131","0.919","1.111"
"81","(Intercept) + 6.9*gratitude","1.004","0.894","1.128","0.911","1.106"
"82","(Intercept) + 6.95*gratitude","0.998","0.886","1.124","0.904","1.102"
"83","(Intercept) + 7*gratitude","0.992","0.879","1.121","0.896","1.099"
"84","(Intercept)","0.119","0.046","0.309","0.053","0.264"
"85","gratitude","1.148","1.010","1.304","1.032","1.277"
"86","age","1.002","0.994","1.010","0.995","1.009"
"87","is_male","0.843","0.611","1.164","0.644","1.104"
"88","is_latino","1.147","0.841","1.564","0.885","1.486"
"89","is_not_latino_and_black","1.087","0.793","1.489","0.835","1.414"
"90","is_not_latino_and_other","1.090","0.686","1.731","0.740","1.605"
"91","baseline_tobacco_history","1.000","0.983","1.018","0.986","1.015"
"92","has_partner","1.029","0.798","1.326","0.832","1.272"
"93","income_val","0.988","0.954","1.024","0.959","1.018"
"94","hour_coinflip_local","1.001","0.990","1.011","0.992","1.009"
"95","days_between_v1_and_coinflip_local","1.004","0.988","1.020","0.991","1.018"
"96","any_response_2qs","1.052","0.916","1.209","0.937","1.182"
"97","engagement_most_recent_eligible","2.400","1.820","3.164","1.904","3.024"
