"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.126"," 0.050"," 0.026"," 0.226"," 0.042"," 0.209"," 2.502","74.000"," 0.015"
"ecig_2","-0.014"," 0.009","-0.031"," 0.004","-0.028"," 0.001","-1.580","74.000"," 0.118"
"(Intercept)","-1.373"," 0.259","-1.890","-0.857","-1.805","-0.942","-5.301","74.000"," 0.000"
"ecig_2"," 0.010"," 0.011","-0.011"," 0.031","-0.008"," 0.027"," 0.932","74.000"," 0.354"
"age"," 0.002"," 0.003","-0.005"," 0.008","-0.004"," 0.007"," 0.501","74.000"," 0.618"
"is_male","-0.142"," 0.144","-0.430"," 0.146","-0.383"," 0.098","-0.986","74.000"," 0.328"
"is_latino"," 0.219"," 0.152","-0.083"," 0.521","-0.033"," 0.472"," 1.445","74.000"," 0.153"
"is_not_latino_and_black"," 0.145"," 0.138","-0.130"," 0.421","-0.085"," 0.375"," 1.050","74.000"," 0.297"
"is_not_latino_and_other"," 0.136"," 0.195","-0.253"," 0.525","-0.189"," 0.461"," 0.697","74.000"," 0.488"
"baseline_tobacco_history"," 0.000"," 0.007","-0.014"," 0.015","-0.011"," 0.012"," 0.071","74.000"," 0.944"
"has_partner"," 0.013"," 0.107","-0.200"," 0.227","-0.165"," 0.192"," 0.126","74.000"," 0.900"
"income_val","-0.006"," 0.016","-0.038"," 0.027","-0.033"," 0.022","-0.342","74.000"," 0.733"
"hour_coinflip_local"," 0.000"," 0.005","-0.010"," 0.010","-0.008"," 0.009"," 0.048","74.000"," 0.962"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.012"," 0.019","-0.009"," 0.017"," 0.476","74.000"," 0.635"
"any_response_2qs"," 0.050"," 0.066","-0.081"," 0.181","-0.060"," 0.160"," 0.759","74.000"," 0.450"
"engagement_most_recent_eligible"," 0.864"," 0.129"," 0.606"," 1.122"," 0.648"," 1.080"," 6.674","74.000"," 0.000"
