"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.111"," 0.050"," 0.012"," 0.211"," 0.028"," 0.195"," 2.222","74.000"," 0.029"
"ecig_3","-0.004"," 0.007","-0.019"," 0.010","-0.016"," 0.008","-0.580","74.000"," 0.563"
"(Intercept)","-1.323"," 0.272","-1.866","-0.780","-1.777","-0.869","-4.858","74.000"," 0.000"
"ecig_3"," 0.000"," 0.018","-0.036"," 0.036","-0.030"," 0.030","-0.004","74.000"," 0.997"
"age"," 0.001"," 0.004","-0.006"," 0.008","-0.005"," 0.007"," 0.333","74.000"," 0.740"
"is_male","-0.139"," 0.149","-0.436"," 0.157","-0.387"," 0.108","-0.938","74.000"," 0.351"
"is_latino"," 0.213"," 0.149","-0.084"," 0.510","-0.035"," 0.462"," 1.428","74.000"," 0.158"
"is_not_latino_and_black"," 0.138"," 0.141","-0.143"," 0.418","-0.097"," 0.372"," 0.979","74.000"," 0.331"
"is_not_latino_and_other"," 0.126"," 0.192","-0.256"," 0.508","-0.193"," 0.446"," 0.658","74.000"," 0.513"
"baseline_tobacco_history"," 0.000"," 0.007","-0.014"," 0.014","-0.011"," 0.012"," 0.035","74.000"," 0.972"
"has_partner"," 0.013"," 0.109","-0.203"," 0.230","-0.168"," 0.195"," 0.122","74.000"," 0.903"
"income_val","-0.006"," 0.016","-0.038"," 0.027","-0.033"," 0.021","-0.353","74.000"," 0.725"
"hour_coinflip_local"," 0.001"," 0.005","-0.009"," 0.011","-0.008"," 0.009"," 0.120","74.000"," 0.905"
"days_between_v1_and_coinflip_local"," 0.003"," 0.008","-0.012"," 0.019","-0.010"," 0.016"," 0.422","74.000"," 0.674"
"any_response_2qs"," 0.042"," 0.066","-0.090"," 0.174","-0.068"," 0.153"," 0.634","74.000"," 0.528"
"engagement_most_recent_eligible"," 0.861"," 0.130"," 0.603"," 1.119"," 0.646"," 1.077"," 6.649","74.000"," 0.000"
