"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"Low Engagement","0.208","0.104","0.417","0.091","0.476"
"High Engagement","0.324","0.246","0.427","0.233","0.451"
