"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"Low Engagement","-1.569","-2.263","-0.875","-2.396","-0.742"
"High Engagement","-1.126","-1.403","-0.850","-1.456","-0.797"
